,Price,Beds_Count,Baths_Count,Sq_Ft_Count,Address,Year Built Details,Roof,Property Sub Type,Attached Garage,Sewer,Attribution Contact,Possible Bedrooms,Fireplace,Cooling,Association Fee,Flooring,Window Features,Parking Features,Patio And Porch Features,Heating,Fencing
36,"$299,995",2,2,1160,3700 E Hacienda Ave,RESALE,Tile,Townhouse,Yes,Public Sewer,814-450-6335,2,,"Central Air, Electric",161,"Linoleum, Vinyl",,"Attached, Garage, Private",,"Central, Electric","Block, Back Yard"
37,"$368,500",3,3,1457,9349 W Pearblossom Sky Ave,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,(702) 931-6201,3,,"Central Air, Electric",70,"Carpet, Laminate","Blinds, Window Treatments","Attached, Garage, Garage Door Opener, Guest, Storage","Covered, Patio","Central, Gas","Block, Back Yard"
38,"$480,000",3,2,1505,7717 Sedalia St Unit 3,RESALE,Tile,Single Family Residence,No,Public Sewer,702-436-6789,3,"eatures: Family Room, Gas","Central Air, Electric",47,"Bamboo, Hardwood, Laminate",Tinted Windows,"Detached, Epoxy Flooring, Finished Garage, Garage, Inside Entrance, Storage",,"Central, Gas","Block, Back Yard"
39,"$799,900",5,4,3866,6407 Carmel Creek Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-583-3030,6,"eatures: Family Room, Gas","Central Air, Electric",100,"Carpet, Hardwood, Tile","Blinds, Double Pane Windows, Window Treatments","Attached, Garage, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
40,"$725,000",4,4,3148,7335 Winesburg St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 467-7333,6,,"Central Air, Electric", Frequency: Quarterly,"Carpet, Tile","Double Pane Windows, Plantation Shutters, Window Treatments","Attached, Epoxy Flooring, Garage, Inside Entrance, Private","Covered, Patio","Central, Gas","Block, Back Yard"
41,"$695,000",5,4,4471,6760 Quapaw St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-545-0020,6,"eatures: Family Room, Gas","Central Air, Electric",75,"Carpet, Ceramic Tile","Blinds, Double Pane Windows","Attached, Garage, Inside Entrance, Tandem","Patio, Porch","Central, Gas","Block, Back Yard"
42,"$449,900",2,2,1180,150 Las Vegas Blvd N Unit 1708,RESALE,,,,,heidi@thewgteam.com,2,,Electric,605,"Ceramic Tile, Hardwood","Blinds, Low Emissivity Windows, Tinted Windows","Assigned, Covered, One Space, Guest",Terrace,"Central, Gas",
43,"$2,099,000",4,4,3275,6817 Double Star St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-583-3030,5,,"Central Air, Electric, 2 Units", Frequency: Monthly,"Laminate, Tile","Blinds, Low Emissivity Windows","Attached, Garage, Garage Door Opener, Inside Entrance",,"Central, Gas, Multiple Heating Units","Block, Back Yard"
44,"$225,000",2,2,None,2140 Petersham Ct Unit B,RESALE,"Pitched, Tile",Townhouse,,Public Sewer,gilgildore@gmail.com,2,,"Central Air, Electric, Refrigerated",200,"Laminate, Tile","Blinds, Plantation Shutters, Window Treatments","Assigned, Covered, Detached Carport, Guest",Patio,"Central, Gas","Block, Back Yard, Metal"
45,"$445,000",4,3,2036,9082 Vintage Wine Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-355-9099,5,"eatures: Gas, Great Room","Central Air, Electric", Frequency: Quarterly,"Carpet, Ceramic Tile","Blinds, Double Pane Windows","Attached, Garage, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
46,"$403,990",3,3,1562,7986 W Agate Ave Unit LOT 51,UNDER CONSTRUCTION,Tile,Single Family Residence,Yes,Public Sewer,702-635-3600,4,,"Central Air, Electric",44,"Carpet, Tile","Blinds, Low Emissivity Windows, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance",,"Central, Gas","Block, Back Yard"
47,"$765,888",5,3,2466,379 Purple Sandpiper St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-688-6402,6,,"Central Air, Electric, ENERGY STAR Qualified Equipment", Frequency: Monthly,"Carpet, Linoleum, Vinyl","Blinds, Low Emissivity Windows, Window Treatments","Attached, Garage, Garage Door Opener, Private","Balcony, Covered, Patio","Central, Gas, High Efficiency, Zoned","Block, Back Yard"
48,"$474,900",4,2,1995,2832 Casa Mia Ln,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,(702) 985-9791,4,"eatures: Family Room, Wood Burning","Central Air, Electric",,"Ceramic Tile, Tile",Blinds,"Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
49,"$215,000",3,2,1330,4437 Dover Straight St Unit 207,RESALE,Flat,Condominium,,Public Sewer,702-496-6094,3,,"Central Air, Electric",210,"Carpet, Tile",,"Assigned, Covered, Detached Carport, Guest",Balcony,"Central, Gas","Block, Full"
50,"$199,000",2,2,1073,4555 E Sahara Ave Unit 216,RESALE,Tile,Condominium,,Public Sewer,702-994-6234,2,"eatures: Gas, Living Room","Central Air, Electric",200,"Carpet, Linoleum, Vinyl",Blinds,"Assigned, Covered",Balcony,"Central, Gas",None
51,"$170,000",2,3,1080,2117 Mars Ave Unit C,RESALE,"Composition, Pitched, Shingle",Townhouse,Yes,Public Sewer,(702) 420-2440,2,,"Central Air, Electric",115,"Carpet, Ceramic Tile",Blinds,"Attached, Garage, Guest",,"Central, Electric","Block, Back Yard"
52,"$215,000",2,2,1164,1751 E Reno Ave Unit 226,RESALE,Tile,Condominium,,Public Sewer,(702) 369-6000,2,"eatures: Family Room, Wood Burning","Central Air, Electric",309,"Ceramic Tile, Laminate",Blinds,"Assigned, Covered, Detached Carport, Guest",Balcony,"Central, Electric",None
53,"$455,000",3,3,2068,7956 Mcdowell Dr,RESALE,Pitched,Single Family Residence,Yes,Public Sewer,tomm@BHHSNV.com,3,"eatures: Family Room, Gas, Living Room","Central Air, Electric", Frequency: Monthly,"Carpet, Tile",Blinds,"Attached, Garage, Storage",Deck,"Central, Gas","Brick, Back Yard"
54,"$825,000",5,3,2928,255 Chestnut Ridge Cir,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-583-3030,5,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",73,"Carpet, Laminate, Tile",Double Pane Windows,"Attached, Garage, Shelves",Patio,"Central, Gas","Block, Back Yard"
55,"$385,000",3,2,1798,5020 Elkin Creek Ave Unit 1,RESALE,Tile,Single Family Residence,Yes,Public Sewer,tomm@BHHSNV.com,3,"eatures: Gas, Living Room","Central Air, Electric", Frequency: Monthly,"Carpet, Tile",Blinds,"Attached, Garage",Patio,"Central, Electric","Brick, Back Yard"
56,"$439,999",4,3,2191,4579 Margarete Ave,RESALE,"Composition, Shingle",Single Family Residence,,Public Sewer,775-764-0990,6,"eatures: Family Room, Gas, Living Room, Wood Burning","Central Air, Electric, ENERGY STAR Qualified Equipment, 2 Units",,"Laminate, Linoleum, Tile, Vinyl","Blinds, Double Pane Windows, Insulated Windows, Tinted Windows","Assigned, Guest, Open, RV Access/Parking, RV Paved, Uncovered","Covered, Enclosed, Patio, Porch","Central, Gas","Block, Back Yard, Wrought Iron"
57,"$460,000",3,3,1784,8653 Majestic Pine Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,,4,,"Central Air, Electric",28,Laminate,Blinds,"Attached, Garage","Covered, Patio, Porch","Central, Gas","Block, Back Yard"
58,"$749,900",4,4,3357,9013 Heavenly Valley Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,,5,"eatures: Family Room, Gas, Great Room","Central Air, Gas",82,"Carpet, Laminate, Tile",,"Attached, Garage, Garage Door Opener",,"Central, Gas","Block, Back Yard"
59,"$1,230,000",4,6,3311,1860 Ski Slope Cir,RESALE,"Pitched, Tile",Single Family Residence,No,Septic Tank,(702) 408-6599,5,"eatures: Electric, Family Room","Central Air, Electric",,"Linoleum, Tile, Vinyl",,"Detached, Garage, RV Access/Parking, RV Paved",,"Central, Electric","Block, Back Yard"
60,"$669,900",4,3,2476,3566 Ridge Meadow St Unit 1,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 493-3649,4,,"Central Air, Electric", Frequency: Monthly,"Carpet, Ceramic Tile",Plantation Shutters,"Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
61,"$774,900",3,3,2172,169 Lisett St,UNDER CONSTRUCTION,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-596-2040,3,,"Central Air, Electric", Frequency: Monthly,"Carpet, Ceramic Tile","Double Pane Windows, Low Emissivity Windows","Attached, Exterior Access Door, Garage, Garage Door Opener, Inside Entrance, Tandem","Covered, Patio","Central, Gas","Block, Back Yard"
62,"$385,000",4,3,1762,7182 Acorn Ct,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,702-940-9600,4,,"Central Air, Electric",,"Laminate, Tile",Blinds,"Attached Carport, Attached, Garage","Covered, Patio","Central, Gas","Block, Back Yard, Stucco Wall"
63,"$470,000",3,3,1688,9523 Lavarun Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-985-5739,3,"eatures: Family Room, Gas","Central Air, Electric",14,"Carpet, Ceramic Tile, Tile",Blinds,"Attached, Garage, RV Gated, RV Access/Parking, Shelves, Storage","Balcony, Covered, Patio","Central, Gas","Block, Back Yard, RV Gate"
64,"$475,000",3,2,1595,5433 Olympic Spirit Ln,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-460-2380,3,"eatures: Family Room, Gas","Central Air, Electric",,"Carpet, Hardwood, Marble","Double Pane Windows, Plantation Shutters, Window Treatments","Attached, Finished Garage, Garage, Private, Shelves","Covered, Patio, Porch","Central, Gas","Block, Back Yard"
65,"$208,000",3,2,1266,1455 E Katie Ave Unit L21,RESALE,Tile,Condominium,,Public Sewer,702-940-9600,3,,"Central Air, Electric",198,"Laminate, Tile",Blinds,Open,Balcony,"Central, Electric",None
66,"$425,000",None,None,1826,1301 San Pedro St,RESALE,"Composition, Shingle",Duplex,,Public Sewer,702-827-1010,,,"Central Air, Window Unit(s)",,"Ceramic Tile, Tile",Blinds,"Covered, Paved",,"Central, Electric, Gas",
67,"$360,000",4,3,1747,6321 Parsifal Pl,RESALE,"Composition, Shingle",Single Family Residence,,Public Sewer,702-227-7171,4,,"Central Air, Electric",,Tile,,,,"Central, Electric","Back Yard, Wrought Iron"
68,"$299,900",2,3,1417,6330 Dan Blocker Ave Unit 102,RESALE,Tile,Townhouse,Yes,Public Sewer,702-247-8738,2,,"Central Air, Electric", Frequency: Monthly,"Carpet, Linoleum, Vinyl",Blinds,"Attached, Garage, Private, Guest",,"Central, Gas","Block, Back Yard"
69,"$735,000",5,4,3940,741 Secret London Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-586-8588,6,,"Central Air, Electric, 2 Units",83,Laminate,"Blinds, Double Pane Windows, Low Emissivity Windows","Attached, Garage","Balcony, Covered, Patio, Porch","Central, Gas, Multiple Heating Units","Block, Back Yard"
70,"$264,900",2,2,1089,2300 E Silverado Ranch Blvd Unit 1191,RESALE,Tile,Condominium,No,Public Sewer,janetfranco@msn.com,2,,"Central Air, Electric",282,"Ceramic Tile, Linoleum, Vinyl",Blinds,"Assigned, Detached Carport, Detached, Garage, One Space",Balcony,"Central, Electric",None
71,"$394,990",3,3,1621,8889 Cornwall Glen Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-874-8555,4,,"Central Air, Electric", Frequency: Monthly,"Laminate, Tile",,"Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
72,"$1,295,900",4,4,3976,5364 Monessen Ct Unit 8,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 321-6718,5,"eatures: Family Room, Gas, Primary Bedroom","Central Air, Electric", Frequency: Monthly,Laminate,Plantation Shutters,"Attached, Epoxy Flooring, Garage, Inside Entrance",Balcony,"Central, Gas","Block, Back Yard"
73,"$449,985",2,2,1194,4213 Silver Torch Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-866-0086,2,,"Central Air, Electric",51,"Carpet, Tile","Blinds, Low Emissivity Windows","Attached, Garage, Inside Entrance, Private, Shelves","Covered, Patio","Central, Gas","Block, Back Yard"
74,"$360,000",3,2,1646,3332 Lovell Ct,RESALE,Asphalt,Townhouse,Yes,Public Sewer,702-688-6402,3,,"Central Air, Electric", Frequency: Monthly,"Carpet, Tile",Drapes,"Attached, Garage, Private",,"Central, Electric","Block, Back Yard"
75,"$453,900",5,3,2283,5048 Dodge Ridge Ave,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,(702) 232-7729,6,,"Central Air, Electric",39,Laminate,"Blinds, Double Pane Windows","Attached, Garage, Garage Door Opener, Guest",Patio,"Central, Gas","Back Yard, Vinyl"
76,"$409,900",4,3,2250,4723 Mountain Valley Rd Unit 1,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,(702) 824-2941,4,"eatures: Family Room, Gas","Central Air, Electric",115,"Ceramic Tile, Laminate",Blinds,"Attached, Garage",,"Central, Gas","Block, Back Yard"
77,"$349,999",4,2,1555,1808 Hassett Ave,RESALE,"Composition, Shingle",Single Family Residence,,Public Sewer,702-617-0000,4,,"Central Air, Electric",,Tile,"Blinds, Double Pane Windows",Attached Carport,"Covered, Patio","Central, Gas","Block, Full, Wrought Iron"
78,"$2,150,000",4,4,4667,612 Hermosa Canyon Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-303-7910,7,"eatures: Bath, Gas, Living Room, Outside","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Hardwood, Marble, Tile","Double Pane Windows, Low Emissivity Windows, Plantation Shutters","Attached, Exterior Access Door, Finished Garage, Garage, Garage Door Opener, Inside Entrance, Shelves, Storage","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Back Yard, Stucco Wall"
79,"$238,000",3,2,1440,3249 Tularosa Ln,RESALE,"Composition, Pitched, Shingle",Manufactured Home,,Public Sewer,randysellslv@gmail.com,3,,"Central Air, Electric",93,"Carpet, Laminate",,"Attached Carport, RV Access/Parking, Tandem","Covered, Patio","Central, Gas","Block, Back Yard, Wrought Iron"
80,"$344,990",3,3,1578,6461 Diego Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-868-9000,3,,"Central Air, Electric",32,Carpet,,"Attached, Garage",,"Central, Gas","Block, Back Yard"
81,"$204,900",2,2,1073,4720 Obannon Dr Unit D,RESALE,Tile,Condominium,,Public Sewer,702-868-9000,2,,"Central Air, Electric",275,"Carpet, Linoleum, Vinyl",Drapes,"Assigned, Covered",Balcony,"Central, Electric",None
82,"$350,000",3,3,1405,6316 Yampa River Way,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-530-5844,3,,"Central Air, Electric",47,"Carpet, Laminate, Linoleum, Vinyl",Blinds,"Attached, Garage, Inside Entrance",,"Central, Gas","Block, Partial"
83,"$224,990",2,2,None,6620 Bubbling Brook Dr Unit D,RESALE,Tile,Condominium,No,Public Sewer,702-262-9000,2,,"Central Air, Electric",250,"Carpet, Laminate, Tile",,"Assigned, Covered, Detached, Garage",Balcony,"Central, Gas",None
84,"$396,000",3,3,1374,8124 Redskin Cir,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-368-1850,3,"eatures: Family Room, Gas","Central Air, Gas",,"Carpet, Concrete, Laminate",Blinds,"Air Conditioned Garage, Attached, Garage, Guest",,"Central, Gas","Block, Back Yard"
85,"$420,000",3,3,1700,7728 Eastham Bay Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-583-3030,3,,"Central Air, Electric",59,"Carpet, Tile",Blinds,"Attached, Garage, Garage Door Opener, Inside Entrance, Guest",Patio,"Central, Gas","Block, Back Yard"
86,"$920,000",5,3,4133,4532 N Kevin Way Unit A,RESALE,"Composition, Shingle, Tile",Single Family Residence,Yes,Public Sewer,702-583-3030,6,,"Central Air, Electric, 2 Units",,"Carpet, Tile",Plantation Shutters,"Attached, Epoxy Flooring, Garage, RV Access/Parking, RV Paved",,"Electric, Multiple Heating Units",Back Yard
87,"$425,000",4,3,2212,1638 Adobe Frost Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,tomm@BHHSNV.com,4,,"Central Air, Electric", Frequency: Monthly,"Carpet, Tile",Blinds,"Attached, Garage, Shelves",Patio,"Central, Gas","Brick, Back Yard"
88,"$285,000",3,2,1266,556 Yacht Harbor Dr Unit 104,RESALE,Tile,Condominium,,Public Sewer,rose@rose4realestate.com,3,"eatures: Gas, Living Room","Central Air, Electric",210,Laminate,"Blinds, Low Emissivity Windows","Assigned, Covered, Detached Carport","Covered, Patio","Central, Gas",None
89,"$429,999",4,4,1792,4512 El Parque Ave,RESALE,Asphalt,Single Family Residence,,Public Sewer,702-279-4858,4,,"Central Air, Electric",,"Linoleum, Vinyl",,Attached Carport,,"Central, Gas","Brick, Back Yard, Wood"
